"","Current Share Price","52 Week High","52 Week Low","Beta","1 Month Change(%)","3 Month Change(%)","1 Year Change(%)","3 Year Change(%)","5 Year Change(%)","Change since IPO(%)","Average Weekly Movement(%)","Industry Average Movement(%)","Market Average Movement(%)","Volatility for 10% most volatile stocks(%)","Volatility for 10% least volatile stocks(%)","Market Cap","Revenue","Cost of Revenue","Gross Profit","Expenses","Earnings","Earnings per share (EPS)","Gross Margin(%)","Net Profit Margin(%)","Debt/Equity Ratio(%)"
"SCOM","36.2","45.25","34.95","0.59","-3.85","-15.42","0.98","41.96","94.1","392.52","2.9","3.5","5.1","9","2.4","1.45t","285.82b","89.01b","196.81b","124.15b","72.66b","1.81","68.86","25.42","43.1"
"EQTY","50.25","55","36.75","0.85","-1.47","1.11","37.67","22.86","101","918.59","3.4","2.9","5.1","9","2.4","189.63b","87.02b","0","87.02b","55.71b","31.31b","8.30","100.00","35.98","60.7"
"KCB","44.8","50.75","35.55","0.76","-0.77","1.93","24.97","9.54","84.74","563.7","2.3","2.9","5.1","9","2.4","143.96b","89.66b","0","89.66b","55.77b","33.89b","10.54","100.00","37.79","21.5"
"EABL","161","194","148","0.88","-2.57","-3.01","7.51","-23.61","-30","1556","3.7","3.3","5.1","9","2.4","126.86b","85.96b","48.55b","37.41b","33.06b","4.35b","5.53","43.52","5.07","312.1"
"COOP","12.95","14.05","11.3","0.41","0.39","3.6","2.78","-17.78","36.92","108.19","2.4","2.9","5.1","9","2.4","75.98b","49.97b","0","49.97b","36.52b","13.45b","2.29","100.00","26.91","46.0"
"ABSA","11.75","12","8.5","0.58","0.43","14.63","26.07","2.62","48.73","286.83","2.4","2.9","5.1","9","2.4","63.82b","31.59b","0","31.59b","21.12b","10.48b","1.93","100.00","33.16","110.0"
"SCBK","131.75","150","123","0.25","2.93","1.35","-4.87","-25.68","-14.75","327.51","1.5","2.9","5.1","9","2.4","57.16b","24.75b","0","24.75b","17.46b","7.29b","16.81","100.00","29.47","17.0"
"BAT","446","500","400","0.26","1.02","3.72","9.79","-30.31","-51.26","687.64","2","3.9","4.9","9.2","2.4","44.60b","27.34b","16.13b","11.21b","5.67b","5.54b","55.36","41.00","20.25","0.0"
"NCBA","25.4","29","22.5","0.58","-2.31","5.39","2.63",NA,NA,"-6.71","3.6","2.9","5.1","9","2.4","41.85b","33.07b","0","33.07b","24.43b","8.64b","5.25","100.00","26.14","9.6"
"SBIC","92","99","75.25","0.23","4.55","-2.13","15","0.82","39.39","846.29","6.8","2.9","5.1","9","2.4","36.37b","18.36b","0","18.36b","13.17b","5.19b","13.13","100.00","28.28","15.7"
"IMH","21","27.25","20.25","0.3","-1.87","-2.1","-10.64","-11.58","7.69","-16","2.1","2.9","5.1","9","2.4","34.73b","24.12b","0","24.12b","14.95b","9.16b","5.54","100.00","38.00","28.1"
"BKG","30","40","19","0.71","3.45","3.45","62.16",NA,NA,"-3.23","8.9","2.9","5.1","9","2.4","241.46b","125.07b","0","125.07b","77.54b","47.53b","52.55","100.00","38.01","21.3"
"KEGN","4.05","5.36","3.9","0.25","-3.34","-13.65","-21.82","-40.27","-30.77","-89.88","5.1","5.1","5.1","9.2","2.4","26.71b","45.90b","9.07b","36.83b","35.64b","1.19b","0.18","80.24","2.59","69.2"
"JUB","302.25","392","260","0.37","-4.58","-16.04","7.95","-29.71","-27.25","1553.22","6","6","5.1","9","2.4","21.90b","36.93b","27.64b","9.29b","2.99b","6.30b","86.98","25.16","17.07","0.0"
"BRIT","7.02","8.78","6","0.41","-8.59","-11.81","-5.9","-29.09","-29.8","18.98","5.1","6","5.1","9","2.4","17.71b","32.04b","25.24b","6.80b","15.95b","-9.15b","-3.62","21.23","-28.54","28.4"
"DTK","58.5","78","54","0.36","-1.68","-0.43","-23.03","-60.34","-44.81","286.1","3.5","2.9","5.1","9","2.4","16.36b","18.51b","0","18.51b","14.45b","4.05b","14.50","100.00","21.90","27.2"
"TOTL","23.45","27.5","21.5","0.16","-8.76","-5.06","-1.47","-19","40","-27.1","3.2","6.3","5.1","9","2.4","14.76b","68.46b","59.31b","9.15b","5.29b","3.86b","6.13","13.36","5.64","0"
"BAMB","37.65","45","33","0.36","0","2.73","-10.46","-70.81","-74.56","1731.64","3.5","4.8","5.1","9","2.4","13.67b","38.28b","32.54b","5.74b","4.64b","1.11b","3.05","15.00","2.89","6.9"
"CTUM","14.1","18","14","0.49","-0.7","-20.56","-17.3","-60.72","-55.59","309.47","4.6","4.9","5.1","9","2.4","9.38b","9.82b","2.55b","2.74b","2.04b","700.62","1.05","27.88","7.13","56.7"
"KUKZ","418","423.5","351","0.42","8.57","8.57","14.52","34.84","48.75","356.83",NA,"4.6","5.1","9","2.4","8.19b","3.61b","2.10b","1.51b","961.65","543.89","27.75","41.73","15.07","0"
"NBV","5.24","13.8","3.8","2.99","-9.34","3.97","-6.09","917.48","32.66","31","11.7","6","5.1","9","2.4","7.09b","45.38","41.81","3.57","-29.37","32.94","0.024","7.86","72.59","0.0"
"KNRE","2.22","2.8","2.1","0.3","-3.06","-8.26","-10.12","-38.33","-57.21","-36.25","3.6","6","5.1","9","2.4","6.22b","25.16b","20.03b","5.13b","3.22b","1.91b","0.68","20.38","7.58","0.0"
"CIC","2.18","3.5","1.94","0.25","0","-14.84","5.31","-51.01","-31.87","-39.86","6","6","5.1","9.2","2.4","5.70b","18.19b","12.49b","5.69b","5.33b","362.14","0.14","31.31","1.99","56.7"
"CRWN","36.25","43","19.05","0.099","13.46","13.28","-9.38","-54.83","-13.69","490.74","5.9","4.4","5.1","9","2.4","5.16b","9.19b","5.25b","3.94b","3.34b","599.51","4.21","42.91","6.52","70.6"
